,code,name,py,3,4,jz,day1,week1,month1,month3,month6,year1,year2,year3,year0,yearall,1,2,3
66,006561,华夏四川国改ETF联接C,HXSCGGETFLJC,2019-08-30,1.0176,1.0176,0.9123,3.5304,3.9853,8.2899,1.5772,,,,,1.76,2019-01-22,1,1.76
67,001984,上投摩根中国生物医药(QDII),STMGZGSWYYQDII,2019-08-29,1.2021,1.2021,0.9829,3.5223,11.1101,18.0497,19.4575,8.8930,-7.3107,4.3332,19.3229,4.6462,2016-04-28,1,
68,002291,诺安安鑫灵活配置混合,NAAXLHPZHH,2019-08-30,1.1564,1.1564,0.4866,3.5180,2.5359,8.1253,23.1916,26.1481,14.2688,14.4950,44.7128,15.64,2016-02-16,1,15.64
69,002621,中欧消费主题股票A,ZOXFZTGPA,2019-08-30,1.65,1.65,-0.8413,3.5132,0.2430,5.3640,29.2091,38.4228,50,65,55.0752,65,2016-07-22,1,65
70,000828,泰达转型机遇,TDZXJY,2019-08-30,0.9740,1.1940,-0.2049,3.5069,6.2159,14.9941,21.9024,35.8438,4.7312,12.8621,51.4774,17.0407,2014-11-18,1,17.0407
71,006604,嘉实消费精选股票A,JSXFJXGPA,2019-08-30,1.0935,1.0935,1.9580,3.4825,7.0170,11.8785,,,,,,9.35,2019-04-03,1,9.35
72,006605,嘉实消费精选股票C,JSXFJXGPC,2019-08-30,1.0902,1.0902,1.9545,3.4345,6.9243,11.6208,,,,,,9.02,2019-04-03,1,9.02
73,090020,大成健康产业混合,DCJKCYHH,2019-08-30,0.9170,0.9170,-0.2176,3.3822,2.8027,13.7717,13.7717,10.2163,-4.0795,-2.1345,28.2517,-8.30,2012-08-28,1,-10.5366
74,001543,宝盈新锐混合A,BYXRHHA,2019-08-30,1.7320,1.7320,0.8736,3.3413,2.1829,12.8339,31.7110,53.1388,44.5743,69.1406,67.5048,73.20,2015-11-04,1,73.2
75,000217,华安黄金易ETF联接C,HAHJYETFLJC,2019-08-30,1.2917,1.2917,-1.2688,3.2864,11.0662,23.1481,23.4423,32.6453,25.7863,22.5289,24.1184,29.17,2013-08-22,1,37.8549
76,000216,华安黄金易ETF联接A,HAHJYETFLJA,2019-08-30,1.2973,1.2973,-1.2709,3.28,11.0227,23.0718,23.3644,32.3370,25.6708,22.7342,23.9774,29.73,2013-08-22,1,38.0106
77,004292,鹏华沪深港互联网股票,PHHSGHLWGP,2019-08-30,1.1182,1.1182,1.1671,3.2788,3.3934,8.7637,9.7243,4.6318,0.2420,,18.7175,11.82,2017-04-06,1,11.82
78,000854,鹏华养老产业股票,PHYLCYGP,2019-08-30,2.1480,2.1480,1.9943,3.2692,8.5397,21.2190,41.9696,42.4403,45.0371,76.0656,72.5301,114.80,2014-12-02,1,114.8
79,004253,国泰黄金ETF联接C,GTHJETFLJC,2019-08-30,1.3299,1.3299,-1.2328,3.2050,10.8065,22.7865,23.0022,31.5431,24.9671,,23.5622,24,2017-05-02,1,24
